ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/13/2014,204,177,133,126,141,134,121,180,223,272,386,339,513,506,520,611,573,546,582,528,432,328,282,240
2,70376,3 Avenue,East 155 Street,East 154 Street,SB,09/13/2014,140,51,128,116,144,146,153,219,226,273,317,325,403,414,379,376,329,362,418,335,282,247,237,191
56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,09/13/2014,94,73,65,61,64,73,65,113,169,210,182,245,244,233,280,272,264,236,213,190,199,183,147,103
56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,WB,09/13/2014,88,82,75,60,65,67,71,142,198,212,205,237,257,245,237,276,223,240,217,198,186,162,157,103
62,147673,Broadway,West 242 Street,240 Street,SB,09/13/2014,255,209,149,148,128,136,199,354,473,567,634,781,785,779,732,809,707,675,641,556,546,465,425,324
62,158447,Broadway,West 242 Street,240 Street,NB,09/13/2014,255,209,149,148,128,136,199,354,473,567,634,781,785,779,732,809,707,675,641,556,546,465,425,324
62,255653,Broadway,West 242 Street,240 Street,SB,09/13/2014,87,86,78,56,47,80,98,133,171,177,215,235,239,257,200,200,209,175,181,167,144,129,112,103
71,139620,Bronx River Parkway,Bronx River,East Gun Hill Road,NB,09/13/2014,802,445,388,318,400,527,969,1443,1712,1923,2248,2481,2720,2830,2933,2904,2699,2877,2947,2532,2193,1820,1677,1331
71,139618,Bronx River Parkway,East Gun Hill Road,Bronx River,SB,09/13/2014,618,345,309,277,301,365,699,1194,1662,1830,2058,2493,2665,2711,2676,2848,2680,2581,2274,2054,1762,1534,1308,1107
76,70364,Brook Avenue,East 152 Street,East 153 Street,SB,09/13/2014,79,58,41,30,42,34,55,92,114,150,194,200,247,157,288,300,301,305,294,222,183,134,129,97
89,69780,East 138 Street,Canal Place,Rider Avenue,EB,09/13/2014,339,233,239,206,257,226,231,319,360,450,386,389,478,461,517,475,517,603,495,479,458,419,429,340
89,69780,East 138 Street,Rider Avenue,Canal Place,WB,09/13/2014,282,229,182,187,200,164,188,254,304,331,360,395,454,496,491,484,469,495,427,430,368,346,335,283
102,69979,Concourse Village West,East 156 Street,East 156 Street,NB,09/13/2014,101,67,50,52,34,30,48,85,98,159,224,203,229,202,189,170,210,187,191,207,190,148,137,102
104,9001519,Courtladt Avenue,East 153 Street,East 154 Street,NB,09/13/2014,97,72,36,46,52,29,35,58,100,122,155,152,209,215,183,238,233,204,219,218,176,119,119,91
108,276970,East 144 Street,A J Griffin Place,Grand Concourse,WB,09/13/2014,77,42,29,28,29,32,50,98,142,101,125,123,163,165,167,187,207,140,141,155,117,89,68,83
108,276970,East 144 Street,Grand Concourse,A J Griffin Place,EB,09/13/2014,81,49,55,40,46,46,93,172,168,150,166,160,168,209,223,221,230,211,195,214,146,123,97,94
109,173496,East 149 Street,A J Griffin Place,Grand Concourse,WB,09/13/2014,348,303,280,217,214,170,236,308,397,448,531,519,643,617,643,669,634,617,635,590,541,456,420,356
109,173496,East 149 Street,Grand Concourse,A J Griffin Place,EB,09/13/2014,454,365,344,277,252,203,300,342,476,540,608,616,664,705,782,843,839,821,775,815,732,603,592,484
111,69836,East 149 Street,Morris Avenue,Park Avenue,WB,09/13/2014,338,304,271,188,185,176,261,342,425,507,611,646,714,704,726,794,739,708,747,690,635,545,474,411
111,69836,East 149 Street,Park Avenue,Morris Avenue,EB,09/13/2014,333,238,209,158,172,150,227,251,376,407,490,498,522,556,610,625,599,605,576,510,516,431,394,357
120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,NB,09/13/2014,109,71,49,28,30,34,65,178,200,247,273,357,332,295,336,366,359,351,314,350,314,268,189,191
120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,SB,09/13/2014,57,35,32,37,36,34,113,155,167,195,197,272,242,259,292,308,404,312,236,219,170,143,164,138
